split,class,path,error
test,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\not fractured\IMG0004134.jpg,image file is truncated (1 bytes not processed)
test,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\not fractured\IMG0004143.jpg,image file is truncated (10 bytes not processed)
test,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\not fractured\IMG0004148.jpg,image file is truncated (14 bytes not processed)
test,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\not fractured\IMG0004149.jpg,image file is truncated (33 bytes not processed)
test,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\not fractured\IMG0004308.jpg,image file is truncated (40 bytes not processed)
test,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\not fractured\IMG0004347.jpg,image file is truncated (40 bytes not processed)
train,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\not fractured\IMG0004134.jpg,image file is truncated (1 bytes not processed)
train,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\not fractured\IMG0004143.jpg,image file is truncated (10 bytes not processed)
train,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\not fractured\IMG0004148.jpg,image file is truncated (14 bytes not processed)
train,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\not fractured\IMG0004149.jpg,image file is truncated (33 bytes not processed)
train,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\not fractured\IMG0004308.jpg,image file is truncated (40 bytes not processed)
train,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\not fractured\IMG0004347.jpg,image file is truncated (40 bytes not processed)
val,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\not fractured\IMG0004134.jpg,image file is truncated (1 bytes not processed)
val,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\not fractured\IMG0004143.jpg,image file is truncated (10 bytes not processed)
val,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\not fractured\IMG0004148.jpg,image file is truncated (14 bytes not processed)
val,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\not fractured\IMG0004149.jpg,image file is truncated (33 bytes not processed)
val,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\not fractured\IMG0004308.jpg,image file is truncated (40 bytes not processed)
val,not fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\not fractured\IMG0004347.jpg,image file is truncated (40 bytes not processed)
