hash,split,class,path
b038ce30cf71cd66,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\0.png
b038ce30cf71cd66,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\5.png
b038ce30cf71cd66,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\0.png
b038ce30cf71cd66,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\5.png
b038ce30cf71cd66,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\0.png
b038ce30cf71cd66,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\5.png
daf6097975056d28,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\00004541.png
daf6097975056d28,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\000151.png
daf6097975056d28,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\0001517989.png
daf6097975056d28,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\00655154.png
daf6097975056d28,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\00004541.png
daf6097975056d28,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\000151.png
daf6097975056d28,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\0001517989.png
daf6097975056d28,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\00655154.png
daf6097975056d28,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\00004541.png
daf6097975056d28,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\000151.png
daf6097975056d28,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\0001517989.png
daf6097975056d28,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\00655154.png
c1c97e1d0f313876,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\000151594.png
c1c97e1d0f313876,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\000151898.png
c1c97e1d0f313876,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\000151899789.png
c1c97e1d0f313876,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\0005156.png
c1c97e1d0f313876,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\000151594.png
c1c97e1d0f313876,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\000151898.png
c1c97e1d0f313876,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\000151899789.png
c1c97e1d0f313876,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\0005156.png
c1c97e1d0f313876,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\000151594.png
c1c97e1d0f313876,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\000151898.png
c1c97e1d0f313876,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\000151899789.png
c1c97e1d0f313876,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\0005156.png
953be51eaa16d413,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\0010.png
953be51eaa16d413,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\0012.png
953be51eaa16d413,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\002555.png
953be51eaa16d413,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\0085.png
953be51eaa16d413,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\10.png
953be51eaa16d413,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\0010.png
953be51eaa16d413,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\0012.png
953be51eaa16d413,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\002555.png
953be51eaa16d413,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\0085.png
953be51eaa16d413,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\0010.png
953be51eaa16d413,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\0012.png
953be51eaa16d413,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\002555.png
953be51eaa16d413,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\0085.png
9f30974da55aa694,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\0013.png
9f30974da55aa694,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\00156.png
9f30974da55aa694,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\007.png
9f30974da55aa694,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\0089.png
9f30974da55aa694,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\11.png
9f30974da55aa694,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\7.png
9f30974da55aa694,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\0013.png
9f30974da55aa694,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\00156.png
9f30974da55aa694,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\007.png
9f30974da55aa694,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\0089.png
9f30974da55aa694,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\0013.png
9f30974da55aa694,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\00156.png
9f30974da55aa694,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\007.png
9f30974da55aa694,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\0089.png
c7279c42b759a552,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\0014.png
c7279c42b759a552,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\0015.png
c7279c42b759a552,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\00233.png
c7279c42b759a552,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\0045.png
c7279c42b759a552,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\6.png
c7279c42b759a552,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\8.png
c7279c42b759a552,test,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\test\fractured\9.png
c7279c42b759a552,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\0014.png
c7279c42b759a552,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\0015.png
c7279c42b759a552,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\00233.png
c7279c42b759a552,train,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\train\fractured\0045.png
c7279c42b759a552,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\0014.png
c7279c42b759a552,val,fractured,E:\projects\project-fracture-classification\dataset\Bone_Fracture_Dataset\val\fractured\0015.png
